自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
40,30-90,家人你要是卡在售后麻烦，小苏把话说透：平台7天无理由退换，但安装后不支持，规则我先讲清楚，免得后面扯皮。,家人们售后这块别担心：质保3年；平台7天无理由退换（安装后不支持）。你不确定就先拍给我核对，咱们把风险压到最低。,售后这块你放心，小苏一直在。规则我也提前说清：平台7天无理由退换，但安装后不支持退换。所以你收到货先别急着装，先把尺寸、款式、色温确认好；需要我核对的直接拍照发我。质保是3年，后续有任何问题先联系小苏，咱们先沟通先解决，尽量不让你多跑一趟。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕售后麻烦？先说流程,,2026/02/26,2026/02/27,憋单｜怕售后麻烦？先说流程,"憋单,售后麻烦,流程,7天,质保,规则",,,,,,
41,30-90,家人你要是卡在怕踩坑，小苏把话说透：先按房间定色温，再看出光方式，先给你一个避坑思路，舒服了你再拍。,家人们选灯别靠感觉，靠信息：房间+面积+层高+你想要清爽还是温馨。你打出来，我就能给你一个不踩坑的方向。,怕踩坑这个顾虑很正常。小苏先把选择顺序给你：第一步按房间用途定色温，第二步看出光方式，第三步确认尺寸和款式。你把房间用途、面积、层高发我，我按你家情况给你配，这样基本不会踩坑。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕踩坑？先给你一个思路,,2026/02/26,2026/02/27,憋单｜怕踩坑？先给你一个思路,"憋单,怕踩坑,思路,三问,避坑,按场景",,,,,,
42,30-90,家人你要是卡在怕选错，小苏把话说透：先对尺寸/款式/色温再装，不确定就拍给我，规则我先讲清楚。,家人们怕选错很正常，我教你个小技巧：先收藏，等我帮你把尺寸和色温核对好再拍。公屏发【房间+面积+层高】我就开始给你算。,怕选错很正常。小苏先把退换规则说清楚：平台7天无理由退换，但安装后不支持。所以你收到货先别急着装，先把尺寸、款式、色温确认好；不确定就拍给我，我帮你核对清楚再装。这样你选的时候更放心，不用担心选错。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕选错？先说退换规则,,2026/02/26,2026/02/27,憋单｜怕选错？先说退换规则,"憋单,怕选错,退换,安装后不支持,7天,先确认",,,,,,
43,30-90,家人你要是卡在怕装完不舒服，小苏把话说透：先测试再装，通电看效果，不满意再退，省得后面折腾。,家人们怕装完不舒服，最稳的就是“先试再装”：到手先通电看色温和亮度，确认满意再装，省得后面折腾。,怕装完不舒服很正常。小苏建议你先测试再装：收到货先通电看色温、亮度和出光方式，再决定装不装。如果你觉得不舒服，7天内按平台规则退。但重点是：装之前先把尺寸、款式、色温确认好，别装了再改。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕装完不舒服？先说测试,,2026/02/26,2026/02/27,憋单｜怕装完不舒服？先说测试,"憋单,怕装完不舒服,测试,先试后装,到好确认",,,,,,
44,30-90,家人你要是卡在怕钱白花，小苏把话说透：按预算配，预算不够我给你更省的，预算够我给你更稳的。,家人们预算不一样，方案就不一样。你给我个预算区间，我给你配“够用”和“更舒服”的两套，选你最顺眼的那套下单。,怕钱白花很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我预算大概是多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕钱白花？先按预算配,,2026/02/26,2026/02/27,憋单｜怕钱白花？先按预算配,"憋单,怕钱白花,按预算,性价比,更省,预算足够",,,,,,
45,30-90,家人你要是卡在怕看着便宜，小苏把话说透：参数透明，质保3年，你看得清楚再下。,家人们参数我都给你说人话：看显色、看防眩、看质保。你要是纠结，公屏打【客厅/卧室/餐厅】我按场景把重点给你拎出来。,怕看着便宜很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你把参数（色温、显指、质保3年）和我的服务讲清楚，再决定买不买。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕看着便宜？先说参数透明,,2026/02/26,2026/02/27,憋单｜怕看着便宜？先说参数透明,"憋单,怕看着便宜,参数透明,质保,用料做工,舒适度",,,,,,
46,90-180,这位家人眼光真到位！你选的是耐看型，装上去不是网红一阵风，是越用越舒服、越看越顺眼那种。,家人们恭喜这位家人选得稳，灯具就像家里气质的“底色”，选对了越看越顺眼。想我帮你再核对尺寸/色温的，发【房间+面积+层高】我就能给你对上。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种耐看、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很稳（耐看+省心）,,2026/02/26,2026/02/27,赞眼光｜选得很稳（耐看+省心）,"赞眼光,眼光在线,选得很稳,耐看,省心",,,,,,
47,90-180,这位家人眼光真到位！你选的是百搭款，装上去不过时，你家人以后换装修也合适。,家人们这种百搭款就像白衬衫，怎么搭都不出错。你家是【现代/奶油/原木/轻奢】哪种风格？公屏打一下，我顺手把配色和色温给你定。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种百搭、不过时的款式，说明你更在意长期使用的舒适度。你把层高和餐桌/客厅尺寸告诉我，我把尺寸、下吊高度这些给你算一下，装出来才会好看又不压层高。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,眼光在线（百搭款）,,2026/02/26,2026/02/27,赞眼光｜眼光在线（百搭款）,"赞眼光,眼光在线,百搭款,不过时,顺手转讲解",,,,,,
48,90-180,这位家人眼光真到位！你选的是一次到位型，灯、光、色温、尺寸都刚好，基本不会踩坑。,家人们这叫一次到位型，少折腾就是省钱。下单前把【孔距/层高/位置尺寸】量一下，不确定拍给我，我先帮你确认能不能装。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种一次到位、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（一次到位）,,2026/02/26,2026/02/27,赞眼光｜选得很准（一次到位）,"赞眼光,选得很准,一次到位,不踩坑,省心",,,,,,
49,90-180,这位家人眼光真到位！你选的是不踩坑型，小苏按你家情况配的，基本不会出错。,家人们选得准！我再提醒一句省心的：到货先通电试色温和亮度，确认满意再安装；平台7天无理由退换（安装后不支持）。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种不踩坑、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（不踩坑）,,2026/02/26,2026/02/27,赞眼光｜选得很准（不踩坑）,"赞眼光,选得很准,不踩坑,省心型,耐看型",,,,,,
50,90-180,这位家人眼光真到位！你选的是省心型，不用你做功课，我按你家情况配好，省心省力。,家人们这个就属于“耐看型”，越住越舒服。你更喜欢【清爽白】还是【温馨暖】？公屏打一下，我把色温怎么配给你讲清楚。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种省心、耐看的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（省心型）,,2026/02/26,2026/02/27,赞眼光｜选得很准（省心型）,"赞眼光,选得很准,省心型,耐看型,不过时",,,,,,
51,90-180,这位家人眼光真到位！你选的是耐看型，装上去不是网红一阵风，是越用越舒服、越看越顺眼那种。,家人们这类灯装上去不会抢戏但很高级。你现在更在意【更亮】还是【更柔】？打在公屏，我按你家房间给你配光思路。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种耐看、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（耐看型）,,2026/02/26,2026/02/27,赞眼光｜选得很准（耐看型）,"赞眼光,选得很准,耐看型,省心型,不过时",,,,,,
52,90-180,这位家人眼光真到位！你选的是不过时型，装上去不是网红一阵风，你家人以后换装修也合适。,家人们不过时就是王道，灯别追网红，追舒服。你家层高多少？我给你判断更适合吸顶还是吊灯，避免装完压层高。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种不过时、百搭的款式，说明你更在意长期使用的舒适度。你把层高和餐桌/客厅尺寸告诉我，我把尺寸、下吊高度这些给你算一下，装出来才会好看又不压层高。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（不过时）,,2026/02/26,2026/02/27,赞眼光｜选得很准（不过时）,"赞眼光,选得很准,不过时,百搭款,顺手转讲解",,,,,,
53,90-180,这位家人眼光真到位！你选的是不折腾型，不用你做功课，我按你家情况配好，省心省力。,家人们不折腾才是真省钱：先量尺寸→再下单→到手先试亮。你把安装位置拍一下，我先帮你把风险点排掉。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种不折腾、省心的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（不折腾）,,2026/02/26,2026/02/27,赞眼光｜选得很准（不折腾）,"赞眼光,选得很准,不折腾,一次到位,省心",,,,,,
